,MAE,MSE,R2,Dataset,Algorithm,Score
0,0.1047917963580998,0.020619009584463145,0.6367156111630478,dataset,Linear-Regression,0.06270540297128148
1,0.10858606605155355,0.021817634312131767,0.6156196497882185,dataset_wp,Linear-Regression,0.06520185018184266
2,0.08859533918684104,0.01381172602210112,0.6166297182048147,dataset_outliers,Linear-Regression,0.05120353260447108
3,0.09226809277931824,0.01482236573591913,0.578142613240453,dataset_wp_outliers,Linear-Regression,0.05354522925761869
4,0.0952458210044036,0.016486934074475143,0.6125545545096681,dataset_isolation,Linear-Regression,0.05586637753943937
5,0.09874556941107646,0.017842312500618348,0.5643169068789226,dataset_wp_isolation,Linear-Regression,0.058293940955847404
6,0.10525946742760169,0.02053921370200368,0.6381038581286482,dataset_log,Linear-Regression,0.06289934056480269
7,0.10868265305848071,0.021745323690226182,0.616880067000919,dataset_wp_log,Linear-Regression,0.06521398837435345
8,0.09554638391096729,0.01685766146546163,0.6628950930437085,dataset_sample,Linear-Regression,0.05620202268821446
9,0.12305988580430369,0.027103093836514998,0.5223916498439559,dataset_l,Linear-Regression,0.07508148982040934
10,0.12305988580430369,0.027103093836514998,0.5223916498439559,dataset_wp_l,Linear-Regression,0.07508148982040934
11,0.10718479969273079,0.01945621000010516,0.4600080702711519,dataset_outliers_l,Linear-Regression,0.06332050484641798
12,0.10639093666066564,0.019180436357578174,0.4541868496756429,dataset_wp_outliers_l,Linear-Regression,0.0627856865091219
13,0.11448578866458399,0.022785585380980758,0.46458381153036815,dataset_isolation_l,Linear-Regression,0.06863568702278237
14,0.11446090906682585,0.023031183999565642,0.43759861552534024,dataset_wp_isolation_l,Linear-Regression,0.06874604653319574
15,0.12317171737707064,0.026941969662961786,0.5252077523884384,dataset_log_l,Linear-Regression,0.07505684352001621
16,0.12317171737707064,0.026941969662961786,0.5252077523884384,dataset_wp_log_l,Linear-Regression,0.07505684352001621
17,0.1077200983390905,0.023226051131763167,0.5907551958612104,dataset_representative,Linear-Regression,0.06547307473542684
18,0.11223555076642436,0.026569402340925922,0.5318450908675197,dataset_outliers_representative,Linear-Regression,0.06940247655367514
19,0.11428119534985988,0.023067579303436486,0.46449855689022074,dataset_isolation_l_generated,Linear-Regression,0.06867438732664818
20,0.09923300112505835,0.016431113923457814,0.6117963720344347,dataset_isolation_generated,Linear-Regression,0.05783205752425809
21,0.0914125069162208,0.013715881675908485,0.6160982394172019,dataset_outliers_generated,Linear-Regression,0.05256419429606464
22,0.10990050089004004,0.019577265613016835,0.46433828468117994,dataset_outliers_l_generated,Linear-Regression,0.06473888325152843
23,0.12316971016330122,0.02722153621403977,0.52030960785195,dataset_reduce_l,Linear-Regression,0.0751956231886705
24,0.10744824219551925,0.019550978655310698,0.457361913729308,dataset_reduce_outliers_l,Linear-Regression,0.06349961042541498
25,0.11485026560935743,0.02292534116160993,0.4612802880496501,dataset_reduce_isolation_l,Linear-Regression,0.06888780338548368
26,0.08946602876551712,0.01786972493527156,0.6851087624262412,dataset,KNN,0.05366787685039434
27,0.0922688231182552,0.018824050728732146,0.6682341327302452,dataset_wp,KNN,0.055546436923493675
28,0.07989893750834558,0.013044470173321096,0.6379610815006963,dataset_outliers,KNN,0.04647170384083334
29,0.08160173533101156,0.013490375732556861,0.6159675762593162,dataset_wp_outliers,KNN,0.04754605553178421
30,0.08471914361682722,0.015076938462098557,0.6456391934694775,dataset_isolation,KNN,0.04989804103946289
31,0.08790404572454573,0.016386685167170123,0.5997618887957912,dataset_wp_isolation,KNN,0.052145365445857926
32,0.08916537326993842,0.01776064735870098,0.6869517364675662,dataset_log,KNN,0.0534630103143197
33,0.09302800194638375,0.0191389202601168,0.6626760091018373,dataset_wp_log,KNN,0.05608346110325027
34,0.10985242269815443,0.02335143218835491,0.5375973520496601,dataset_sample,KNN,0.06660192744325467
35,0.11688649015880351,0.027333081968794436,0.5182551015077701,dataset_l,KNN,0.07210978606379898
36,0.11688649015880351,0.027333081968794436,0.5182551015077701,dataset_wp_l,KNN,0.07210978606379898
37,0.10350614226721241,0.020137479264641395,0.4410663446468132,dataset_outliers_l,KNN,0.0618218107659269
38,0.10251591266010576,0.0197404200937586,0.4382176977928885,dataset_wp_outliers_l,KNN,0.06112816637693218
39,0.11105561638630157,0.023615098088943774,0.4448214657715986,dataset_isolation_l,KNN,0.06733535723762267
40,0.11145368093206143,0.024054341817444293,0.41265840583433633,dataset_wp_isolation_l,KNN,0.06775401137475286
41,0.11671216534502264,0.027319369170338264,0.5184245096991515,dataset_log_l,KNN,0.07201576725768045
42,0.11671216534502264,0.027319369170338264,0.5184245096991515,dataset_wp_log_l,KNN,0.07201576725768045
43,0.12682759746542477,0.03018770549619837,0.46454263969383414,dataset_representative,KNN,0.07850765148081157
44,0.13451428470627158,0.03542749735555546,0.3716013223115503,dataset_outliers_representative,KNN,0.08497089103091351
45,0.1244229201399405,0.027821557635903615,0.3540072090526771,dataset_isolation_l_generated,KNN,0.07612223888792205
46,0.11018158276424779,0.02084113278300979,0.5076250118839418,dataset_isolation_generated,KNN,0.06551135777362879
47,0.10358830928756861,0.018023950549282568,0.4955211611489741,dataset_outliers_generated,KNN,0.060806129918425586
48,0.11560575303454837,0.022846105129751715,0.3748686610883847,dataset_outliers_l_generated,KNN,0.06922592908215004
49,0.11729137574003132,0.02746929685951021,0.5159589294868309,dataset_reduce_l,KNN,0.07238033629977077
50,0.1047022160264692,0.02049467864332643,0.43125514204197113,dataset_reduce_outliers_l,KNN,0.06259844733489782
51,0.11086270007097962,0.023673019146255924,0.44344107536646094,dataset_reduce_isolation_l,KNN,0.06726785960861777
52,0.11027113689395093,0.023419718166024773,0.5873345883592795,dataset,Decision-Tree,0.06684542752998786
53,0.11021228714513454,0.023390731029254305,0.5878459599610836,dataset_wp,Decision-Tree,0.06680150908719443
54,0.09733549227180675,0.017116673090340748,0.5248470702503844,dataset_outliers,Decision-Tree,0.05722608268107375
55,0.09669393007632343,0.016977518642086926,0.5169766548669199,dataset_wp_outliers,Decision-Tree,0.05683572435920518
56,0.1033923882708518,0.02020108459996118,0.5251678927531807,dataset_isolation,Decision-Tree,0.061796736435406494
57,0.10374020835370557,0.020377253142232307,0.5024016632558814,dataset_wp_isolation,Decision-Tree,0.062058730747968936
58,0.1102865770306964,0.02343198470893664,0.5871208068073117,dataset_log,Decision-Tree,0.06685928086981652
59,0.11022772728187999,0.023402997572166177,0.5876321784091159,dataset_wp_log,Decision-Tree,0.06681536242702309
60,0.12359999424044774,0.029758885544487447,0.40573731453926926,dataset_sample,Decision-Tree,0.07667943989246759
61,0.1155003131703665,0.025288610358361923,0.5544090965017003,dataset_l,Decision-Tree,0.07039446176436422
62,0.1155003131703665,0.025288610358361923,0.5544090965017003,dataset_wp_l,Decision-Tree,0.07039446176436422
63,0.1020191360825646,0.018491117118374208,0.4867867231632439,dataset_outliers_l,Decision-Tree,0.0602551266004694
64,0.10077498527563386,0.01814145288204028,0.48384013132140574,dataset_wp_outliers_l,Decision-Tree,0.05945821907883707
65,0.10840888122164268,0.021527460557719,0.4940658625066501,dataset_isolation_l,Decision-Tree,0.06496817088968083
66,0.10830072199144454,0.021748686835600634,0.46889615109075333,dataset_wp_isolation_l,Decision-Tree,0.0650247044135226
67,0.11549577827414736,0.025282438636600284,0.554516643687221,dataset_log_l,Decision-Tree,0.07038910845537383
68,0.11549577827414736,0.025282438636600284,0.554516643687221,dataset_wp_log_l,Decision-Tree,0.07038910845537383
69,0.1421789821016175,0.0377194722801757,0.336564088356089,dataset_representative,Decision-Tree,0.0899492271908966
70,0.1399959075388311,0.03612301951229396,0.364643593010578,dataset_outliers_representative,Decision-Tree,0.08805946352556253
71,0.11514921602257946,0.023768426841502453,0.4482218731991299,dataset_isolation_l_generated,Decision-Tree,0.06945882143204096
72,0.1173938309548546,0.022821814400521515,0.46077933445624153,dataset_isolation_generated,Decision-Tree,0.07010782267768806
73,0.10866446725955987,0.019228673941477585,0.4618016323864058,dataset_outliers_generated,Decision-Tree,0.06394657060051873
74,0.10898988186834382,0.019747587296195905,0.45968740399603913,dataset_outliers_l_generated,Decision-Tree,0.06436873458226987
75,0.11463872919709757,0.024801503515536154,0.5629535995360266,dataset_reduce_l,Decision-Tree,0.06972011635631686
76,0.1027352958837505,0.018611256020910943,0.4834700481941313,dataset_reduce_outliers_l,Decision-Tree,0.06067327595233072
77,0.10875791703319834,0.021476065463980093,0.49532917062719345,dataset_reduce_isolation_l,Decision-Tree,0.06511699124858922
